×Ö·û----GB-------Unicode------UTF-8
¹é     e9b9      5f52        e5-bd-92 
¹ê     eab9      9f9f        e9-be-9f 
¹ë     ebb9      95fa        e9-97-ba 
¹ì     ecb9      8f68        e8-bd-a8 
¹í     edb9      9b3c        e9-ac-bc 
¹î     eeb9      8be1        e8-af-a1 
¹ï     efb9      7678        e7-99-b8 
¹ð     f0b9      6842        e6-a1-82 
¹ñ     f1b9      67dc        e6-9f-9c 
¹ò     f2b9      8dea        e8-b7-aa 
¹ó     f3b9      8d35        e8-b4-b5 
¹ô     f4b9      523d        e5-88-bd 
¹õ     f5b9      8f8a        e8-be-8a 
¹ö     f6b9      6eda        e6-bb-9a 
¹÷     f7b9      68cd        e6-a3-8d 
¹ø     f8b9      9505        e9-94-85 
¹ù     f9b9      90ed        e9-83-ad 
¹ú     fab9      56fd        e5-9b-bd 
¹û     fbb9      679c        e6-9e-9c 
¹ü     fcb9      88f9        e8-a3-b9 
¹ý     fdb9      8fc7        e8-bf-87 
¹þ     feb9      54c8        e5-93-88 
º¡     a1ba      9ab8        e9-aa-b8 
º¢     a2ba      5b69        e5-ad-a9 
º£     a3ba      6d77        e6-b5-b7 
º¤     a4ba      6c26        e6-b0-a6 
º¥     a5ba      4ea5        e4-ba-a5 
º¦     a6ba      5bb3        e5-ae-b3 
º§     a7ba      9a87        e9-aa-87 
º¨     a8ba      9163        e9-85-a3 
º©     a9ba      61a8        e6-86-a8 
ºª     aaba      90af        e9-82-af 
º«     abba      97e9        e9-9f-a9 
º¬     acba      542b        e5-90-ab 
º­     adba      6db5        e6-b6-b5 
º®     aeba      5bd2        e5-af-92 
º¯     afba      51fd        e5-87-bd 
º°     b0ba      558a        e5-96-8a 
º±     b1ba      7f55        e7-bd-95 
º²     b2ba      7ff0        e7-bf-b0 
º³     b3ba      64bc        e6-92-bc 
º´     b4ba      634d        e6-8d-8d 
ºµ     b5ba      65f1        e6-97-b1 
º¶     b6ba      61be        e6-86-be 
º·     b7ba      608d        e6-82-8d 
º¸     b8ba      710a        e7-84-8a 
º¹     b9ba      6c57        e6-b1-97 
ºº     baba      6c49        e6-b1-89 
º»     bbba      592f        e5-a4-af 
º¼     bcba      676d        e6-9d-ad 
º½     bdba      822a        e8-88-aa 
º¾     beba      58d5        e5-a3-95 
º¿     bfba      568e        e5-9a-8e 
ºÀ     c0ba      8c6a        e8-b1-aa 
ºÁ     c1ba      6beb        e6-af-ab 
ºÂ     c2ba      90dd        e9-83-9d 
ºÃ     c3ba      597d        e5-a5-bd 
ºÄ     c4ba      8017        e8-80-97 
ºÅ     c5ba      53f7        e5-8f-b7 
ºÆ     c6ba      6d69        e6-b5-a9 
ºÇ     c7ba      5475        e5-91-b5 
ºÈ     c8ba      559d        e5-96-9d 
ºÉ     c9ba      8377        e8-8d-b7 
ºÊ     caba      83cf        e8-8f-8f 
ºË     cbba      6838        e6-a0-b8 
ºÌ     ccba      79be        e7-a6-be 
ºÍ     cdba      548c        e5-92-8c 
ºÎ     ceba      4f55        e4-bd-95 
ºÏ     cfba      5408        e5-90-88 
ºÐ     d0ba      76d2        e7-9b-92 
ºÑ     d1ba      8c89        e8-b2-89 
ºÒ     d2ba      9602        e9-98-82 
ºÓ     d3ba      6cb3        e6-b2-b3 
ºÔ     d4ba      6db8        e6-b6-b8 
ºÕ     d5ba      8d6b        e8-b5-ab 
ºÖ     d6ba      8910        e8-a4-90 
º×     d7ba      9e64        e9-b9-a4 
ºØ     d8ba      8d3a        e8-b4-ba 
ºÙ     d9ba      563f        e5-98-bf 
ºÚ     daba      9ed1        e9-bb-91 
ºÛ     dbba      75d5        e7-97-95 
ºÜ     dcba      5f88        e5-be-88 
ºÝ     ddba      72e0        e7-8b-a0 
ºÞ     deba      6068        e6-81-a8 
ºß     dfba      54fc        e5-93-bc 
ºà     e0ba      4ea8        e4-ba-a8 
ºá     e1ba      6a2a        e6-a8-aa 
ºâ     e2ba      8861        e8-a1-a1 
ºã     e3ba      6052        e6-81-92 
ºä     e4ba      8f70        e8-bd-b0 
ºå     e5ba      54c4        e5-93-84 
ºæ     e6ba      70d8        e7-83-98 
ºç     e7ba      8679        e8-99-b9 
ºè     e8ba      9e3f        e9-b8-bf 
ºé     e9ba      6d2a        e6-b4-aa 
ºê     eaba      5b8f        e5-ae-8f 
ºë     ebba      5f18        e5-bc-98 
ºì     ecba      7ea2        e7-ba-a2 
ºí     edba      5589        e5-96-89 
ºî     eeba      4faf        e4-be-af 
ºï     efba      7334        e7-8c-b4 
ºð     f0ba      543c        e5-90-bc 
ºñ     f1ba      539a        e5-8e-9a 
ºò     f2ba      5019        e5-80-99 
ºó     f3ba      540e        e5-90-8e 
ºô     f4ba      547c        e5-91-bc 
ºõ     f5ba      4e4e        e4-b9-8e 
ºö     f6ba      5ffd        e5-bf-bd 
º÷     f7ba      745a        e7-91-9a 
ºø     f8ba      58f6        e5-a3-b6 
ºù     f9ba      846b        e8-91-ab 
ºú     faba      80e1        e8-83-a1 
ºû     fbba      8774        e8-9d-b4 
ºü     fcba      72d0        e7-8b-90 
ºý     fdba      7cca        e7-b3-8a 
ºþ     feba      6e56        e6-b9-96 
»¡     a1bb      5f27        e5-bc-a7 
»¢     a2bb      864e        e8-99-8e 
»£     a3bb      552c        e5-94-ac 
»¤     a4bb      62a4        e6-8a-a4 
»¥     a5bb      4e92        e4-ba-92 
»¦     a6bb      6caa        e6-b2-aa 
»§     a7bb      6237        e6-88-b7 
»¨     a8bb      82b1        e8-8a-b1 
»©     a9bb      54d7        e5-93-97 
»ª     aabb      534e        e5-8d-8e 
»«     abbb      733e        e7-8c-be 
»¬     acbb      6ed1        e6-bb-91 
»­     adbb      753b        e7-94-bb 
»®     aebb      5212        e5-88-92 
»¯     afbb      5316        e5-8c-96 
»°     b0bb      8bdd        e8-af-9d 
»±     b1bb      69d0        e6-a7-90 
»²     b2bb      5f8a        e5-be-8a 
»³     b3bb      6000        e6-80-80 
»´     b4bb      6dee        e6-b7-ae 
»µ     b5bb      574f        e5-9d-8f 
»¶     b6bb      6b22        e6-ac-a2 
»·     b7bb      73af        e7-8e-af 
»¸     b8bb      6853        e6-a1-93 
»¹     b9bb      8fd8        e8-bf-98 
»º     babb      7f13        e7-bc-93 
»»     bbbb      6362        e6-8d-a2 
»¼     bcbb      60a3        e6-82-a3 
»½     bdbb      5524        e5-94-a4 
»¾     bebb      75ea        e7-97-aa 
»¿     bfbb      8c62        e8-b1-a2 
»À     c0bb      7115        e7-84-95 
»Á     c1bb      6da3        e6-b6-a3 
»Â     c2bb      5ba6        e5-ae-a6 
»Ã     c3bb      5e7b        e5-b9-bb 
»Ä     c4bb      8352        e8-8d-92 
»Å     c5bb      614c        e6-85-8c 
»Æ     c6bb      9ec4        e9-bb-84 
»Ç     c7bb      78fa        e7-a3-ba 
»È     c8bb      8757        e8-9d-97 
»É     c9bb      7c27        e7-b0-a7 
»Ê     cabb      7687        e7-9a-87 
»Ë     cbbb      51f0        e5-87-b0 
»Ì     ccbb      60f6        e6-83-b6 
»Í     cdbb      714c        e7-85-8c 
»Î     cebb      6643        e6-99-83 
»Ï     cfbb      5e4c        e5-b9-8c 
»Ð     d0bb      604d        e6-81-8d 
»Ñ     d1bb      8c0e        e8-b0-8e 
»Ò     d2bb      7070        e7-81-b0 
»Ó     d3bb      6325        e6-8c-a5 
»Ô     d4bb      8f89        e8-be-89 
»Õ     d5bb      5fbd        e5-be-bd 
»Ö     d6bb      6062        e6-81-a2 
»×     d7bb      86d4        e8-9b-94 
»Ø     d8bb      56de        e5-9b-9e 
»Ù     d9bb      6bc1        e6-af-81 
»Ú     dabb      6094        e6-82-94 
»Û     dbbb      6167        e6-85-a7 
»Ü     dcbb      5349        e5-8d-89 
»Ý     ddbb      60e0        e6-83-a0 
»Þ     debb      6666        e6-99-a6 
»ß     dfbb      8d3f        e8-b4-bf 
»à     e0bb      79fd        e7-a7-bd 
»á     e1bb      4f1a        e4-bc-9a 
»â     e2bb      70e9        e7-83-a9 
»ã     e3bb      6c47        e6-b1-87 
»ä     e4bb      8bb3        e8-ae-b3 
»å     e5bb      8bf2        e8-af-b2 
»æ     e6bb      7ed8        e7-bb-98 
»ç     e7bb      8364        e8-8d-a4 
»è     e8bb      660f        e6-98-8f 
»é     e9bb      5a5a        e5-a9-9a 
»ê     eabb      9b42        e9-ad-82 
»ë     ebbb      6d51        e6-b5-91 
»ì     ecbb      6df7        e6-b7-b7 
»í     edbb      8c41        e8-b1-81 
»î     eebb      6d3b        e6-b4-bb 
»ï     efbb      4f19        e4-bc-99 
»ð     f0bb      706b        e7-81-ab 
»ñ     f1bb      83b7        e8-8e-b7 
»ò     f2bb      6216        e6-88-96 
»ó     f3bb      60d1        e6-83-91 
»ô     f4bb      970d        e9-9c-8d 
»õ     f5bb      8d27        e8-b4-a7 
»ö     f6bb      7978        e7-a5-b8 
»÷     f7bb      51fb        e5-87-bb 
»ø     f8bb      573e        e5-9c-be 
»ù     f9bb      57fa        e5-9f-ba 
»ú     fabb      673a        e6-9c-ba 
»û     fbbb      7578        e7-95-b8 
»ü     fcbb      7a3d        e7-a8-bd 
»ý     fdbb      79ef        e7-a7-af 
»þ     febb      7b95        e7-ae-95 
¼¡     a1bc      808c        e8-82-8c 
¼¢     a2bc      9965        e9-a5-a5 
¼£     a3bc      8ff9        e8-bf-b9 
¼¤     a4bc      6fc0        e6-bf-80 
¼¥     a5bc      8ba5        e8-ae-a5 
¼¦     a6bc      9e21        e9-b8-a1 
¼§     a7bc      59ec        e5-a7-ac 
¼¨     a8bc      7ee9        e7-bb-a9 
¼©     a9bc      7f09        e7-bc-89 
¼ª     aabc      5409        e5-90-89 
¼«     abbc      6781        e6-9e-81 
¼¬     acbc      68d8        e6-a3-98 
¼­     adbc      8f91        e8-be-91 
¼®     aebc      7c4d        e7-b1-8d 
¼¯     afbc      96c6        e9-9b-86 
¼°     b0bc      53ca        e5-8f-8a 
¼±     b1bc      6025        e6-80-a5 
¼²     b2bc      75be        e7-96-be 
¼³     b3bc      6c72        e6-b1-b2 
¼´     b4bc      5373        e5-8d-b3 
¼µ     b5bc      5ac9        e5-ab-89 
¼¶     b6bc      7ea7        e7-ba-a7 
¼·     b7bc      6324        e6-8c-a4 
¼¸     b8bc      51e0        e5-87-a0 
¼¹     b9bc      810a        e8-84-8a 
¼º     babc      5df1        e5-b7-b1 
¼»     bbbc      84df        e8-93-9f 
¼¼     bcbc      6280        e6-8a-80 
¼½     bdbc      5180        e5-86-80 
¼¾     bebc      5b63        e5-ad-a3 
¼¿     bfbc      4f0e        e4-bc-8e 
¼À     c0bc      796d        e7-a5-ad 
¼Á     c1bc      5242        e5-89-82 
¼Â     c2bc      60b8        e6-82-b8 
¼Ã     c3bc      6d4e        e6-b5-8e 
¼Ä     c4bc      5bc4        e5-af-84 
¼Å     c5bc      5bc2        e5-af-82 
¼Æ     c6bc      8ba1        e8-ae-a1 
¼Ç     c7bc      8bb0        e8-ae-b0 
¼È     c8bc      65e2        e6-97-a2 
¼É     c9bc      5fcc        e5-bf-8c 
¼Ê     cabc      9645        e9-99-85 
¼Ë     cbbc      5993        e5-a6-93 
¼Ì     ccbc      7ee7        e7-bb-a7 
¼Í     cdbc      7eaa        e7-ba-aa 
¼Î     cebc      5609        e5-98-89 
¼Ï     cfbc      67b7        e6-9e-b7 
¼Ð     d0bc      5939        e5-a4-b9 
¼Ñ     d1bc      4f73        e4-bd-b3 
¼Ò     d2bc      5bb6        e5-ae-b6 
¼Ó     d3bc      52a0        e5-8a-a0 
¼Ô     d4bc      835a        e8-8d-9a 
¼Õ     d5bc      988a        e9-a2-8a 
¼Ö     d6bc      8d3e        e8-b4-be 
¼×     d7bc      7532        e7-94-b2 
¼Ø     d8bc      94be        e9-92-be 
¼Ù     d9bc      5047        e5-81-87 
¼Ú     dabc      7a3c        e7-a8-bc 
¼Û     dbbc      4ef7        e4-bb-b7 
¼Ü     dcbc      67b6        e6-9e-b6 
¼Ý     ddbc      9a7e        e9-a9-be 
¼Þ     debc      5ac1        e5-ab-81 
¼ß     dfbc      6b7c        e6-ad-bc 
¼à     e0bc      76d1        e7-9b-91 
¼á     e1bc      575a        e5-9d-9a 
¼â     e2bc      5c16        e5-b0-96 
¼ã     e3bc      7b3a        e7-ac-ba 
¼ä     e4bc      95f4        e9-97-b4 
¼å     e5bc      714e        e7-85-8e 
¼æ     e6bc      517c        e5-85-bc 
¼ç     e7bc      80a9        e8-82-a9 
¼è     e8bc      8270        e8-89-b0 
¼é     e9bc      5978        e5-a5-b8 
¼ê     eabc      7f04        e7-bc-84 
¼ë     ebbc      8327        e8-8c-a7 
¼ì     ecbc      68c0        e6-a3-80 
¼í     edbc      67ec        e6-9f-ac 
¼î     eebc      78b1        e7-a2-b1 
¼ï     efbc      7877        e7-a1-b7 
¼ð     f0bc      62e3        e6-8b-a3 
¼ñ     f1bc      6361        e6-8d-a1 
¼ò     f2bc      7b80        e7-ae-80 
¼ó     f3bc      4fed        e4-bf-ad 
¼ô     f4bc      526a        e5-89-aa 
¼õ     f5bc      51cf        e5-87-8f 
¼ö     f6bc      8350        e8-8d-90 
¼÷     f7bc      69db        e6-a7-9b 
¼ø     f8bc      9274        e9-89-b4 
¼ù     f9bc      8df5        e8-b7-b5 
¼ú     fabc      8d31        e8-b4-b1 
¼û     fbbc      89c1        e8-a7-81 
¼ü     fcbc      952e        e9-94-ae 
¼ý     fdbc      7bad        e7-ae-ad 
¼þ     febc      4ef6        e4-bb-b6 
½¡     a1bd      5065        e5-81-a5 
½¢     a2bd      8230        e8-88-b0 
½£     a3bd      5251        e5-89-91 
½¤     a4bd      996f        e9-a5-af 
½¥     a5bd      6e10        e6-b8-90 
½¦     a6bd      6e85        e6-ba-85 
½§     a7bd      6da7        e6-b6-a7 
½¨     a8bd      5efa        e5-bb-ba 
½©     a9bd      50f5        e5-83-b5 
½ª     aabd      59dc        e5-a7-9c 
½«     abbd      5c06        e5-b0-86 
½¬     acbd      6d46        e6-b5-86 
½­     adbd      6c5f        e6-b1-9f 
½®     aebd      7586        e7-96-86 
½¯     afbd      848b        e8-92-8b 
½°     b0bd      6868        e6-a1-a8 
½±     b1bd      5956        e5-a5-96 
½²     b2bd      8bb2        e8-ae-b2 
½³     b3bd      5320        e5-8c-a0 
½´     b4bd      9171        e9-85-b1 
½µ     b5bd      964d        e9-99-8d 
½¶     b6bd      8549        e8-95-89 
½·     b7bd      6912        e6-a4-92 
½¸     b8bd      7901        e7-a4-81 
½¹     b9bd      7126        e7-84-a6 
½º     babd      80f6        e8-83-b6 
½»     bbbd      4ea4        e4-ba-a4 
½¼     bcbd      90ca        e9-83-8a 
½½     bdbd      6d47        e6-b5-87 
½¾     bebd      9a84        e9-aa-84 
½¿     bfbd      5a07        e5-a8-87 
½À     c0bd      56bc        e5-9a-bc 
½Á     c1bd      6405        e6-90-85 
½Â     c2bd      94f0        e9-93-b0 
½Ã     c3bd      77eb        e7-9f-ab 
½Ä     c4bd      4fa5        e4-be-a5 
½Å     c5bd      811a        e8-84-9a 
½Æ     c6bd      72e1        e7-8b-a1 
½Ç     c7bd      89d2        e8-a7-92 
½È     c8bd      997a        e9-a5-ba 
½É     c9bd      7f34        e7-bc-b4 
½Ê     cabd      7ede        e7-bb-9e 
½Ë     cbbd      527f        e5-89-bf 
½Ì     ccbd      6559        e6-95-99 
½Í     cdbd      9175        e9-85-b5 
½Î     cebd      8f7f        e8-bd-bf 
½Ï     cfbd      8f83        e8-be-83 
½Ð     d0bd      53eb        e5-8f-ab 
½Ñ     d1bd      7a96        e7-aa-96 
½Ò     d2bd      63ed        e6-8f-ad 
½Ó     d3bd      63a5        e6-8e-a5 
½Ô     d4bd      7686        e7-9a-86 
½Õ     d5bd      79f8        e7-a7-b8 
½Ö     d6bd      8857        e8-a1-97 
½×     d7bd      9636        e9-98-b6 
½Ø     d8bd      622a        e6-88-aa 
½Ù     d9bd      52ab        e5-8a-ab 
½Ú     dabd      8282        e8-8a-82 
½Û     dbbd      6854        e6-a1-94 
½Ü     dcbd      6770        e6-9d-b0 
½Ý     ddbd      6377        e6-8d-b7 
½Þ     debd      776b        e7-9d-ab 
½ß     dfbd      7aed        e7-ab-ad 
½à     e0bd      6d01        e6-b4-81 
½á     e1bd      7ed3        e7-bb-93 
½â     e2bd      89e3        e8-a7-a3 
½ã     e3bd      59d0        e5-a7-90 
½ä     e4bd      6212        e6-88-92 
½å     e5bd      85c9        e8-97-89 
½æ     e6bd      82a5        e8-8a-a5 
½ç     e7bd      754c        e7-95-8c 
½è     e8bd      501f        e5-80-9f 
½é     e9bd      4ecb        e4-bb-8b 
½ê     eabd      75a5        e7-96-a5 
½ë     ebbd      8beb        e8-af-ab 
½ì     ecbd      5c4a        e5-b1-8a 
½í     edbd      5dfe        e5-b7-be 
½î     eebd      7b4b        e7-ad-8b 
½ï     efbd      65a4        e6-96-a4 
½ð     f0bd      91d1        e9-87-91 
½ñ     f1bd      4eca        e4-bb-8a 
½ò     f2bd      6d25        e6-b4-a5 
½ó     f3bd      895f        e8-a5-9f 
½ô     f4bd      7d27        e7-b4-a7 
½õ     f5bd      9526        e9-94-a6 
½ö     f6bd      4ec5        e4-bb-85 
½÷     f7bd      8c28        e8-b0-a8 
½ø     f8bd      8fdb        e8-bf-9b 
½ù     f9bd      9773        e9-9d-b3 
½ú     fabd      664b        e6-99-8b 
½û     fbbd      7981        e7-a6-81 
½ü     fcbd      8fd1        e8-bf-91 
½ý     fdbd      70ec        e7-83-ac 
½þ     febd      6d78        e6-b5-b8 
¾¡     a1be      5c3d        e5-b0-bd 
¾¢     a2be      52b2        e5-8a-b2 
¾£     a3be      8346        e8-8d-86 
¾¤     a4be      5162        e5-85-a2 
¾¥     a5be      830e        e8-8c-8e 
¾¦     a6be      775b        e7-9d-9b 
¾§     a7be      6676        e6-99-b6 
¾¨     a8be      9cb8        e9-b2-b8 
¾©     a9be      4eac        e4-ba-ac 
¾ª     aabe      60ca        e6-83-8a 
¾«     abbe      7cbe        e7-b2-be 
¾¬     acbe      7cb3        e7-b2-b3 
¾­     adbe      7ecf        e7-bb-8f 
¾®     aebe      4e95        e4-ba-95 
¾¯     afbe      8b66        e8-ad-a6 
¾°     b0be      666f        e6-99-af 
¾±     b1be      9888        e9-a2-88 
¾²     b2be      9759        e9-9d-99 
¾³     b3be      5883        e5-a2-83 
¾´     b4be      656c        e6-95-ac 
¾µ     b5be      955c        e9-95-9c 
¾¶     b6be      5f84        e5-be-84 
¾·     b7be      75c9        e7-97-89 
¾¸     b8be      9756        e9-9d-96 
¾¹     b9be      7adf        e7-ab-9f 
¾º     babe      7ade        e7-ab-9e 
¾»     bbbe      51c0        e5-87-80 
¾¼     bcbe      70af        e7-82-af 
¾½     bdbe      7a98        e7-aa-98 
¾¾     bebe      63ea        e6-8f-aa 
¾¿     bfbe      7a76        e7-a9-b6 
¾À     c0be      7ea0        e7-ba-a0 
¾Á     c1be      7396        e7-8e-96 
¾Â     c2be      97ed        e9-9f-ad 
¾Ã     c3be      4e45        e4-b9-85 
¾Ä     c4be      7078        e7-81-b8 
¾Å     c5be      4e5d        e4-b9-9d 
¾Æ     c6be      9152        e9-85-92 
¾Ç     c7be      53a9        e5-8e-a9 
¾È     c8be      6551        e6-95-91 
¾É     c9be      65e7        e6-97-a7 
¾Ê     cabe      81fc        e8-87-bc 
¾Ë     cbbe      8205        e8-88-85 
¾Ì     ccbe      548e        e5-92-8e 
¾Í     cdbe      5c31        e5-b0-b1 
¾Î     cebe      759a        e7-96-9a 
¾Ï     cfbe      97a0        e9-9e-a0 
¾Ð     d0be      62d8        e6-8b-98 
¾Ñ     d1be      72d9        e7-8b-99 
¾Ò     d2be      75bd        e7-96-bd 
¾Ó     d3be      5c45        e5-b1-85 
¾Ô     d4be      9a79        e9-a9-b9 
¾Õ     d5be      83ca        e8-8f-8a 
¾Ö     d6be      5c40        e5-b1-80 
¾×     d7be      5480        e5-92-80 
¾Ø     d8be      77e9        e7-9f-a9 
¾Ù     d9be      4e3e        e4-b8-be 
¾Ú     dabe      6cae        e6-b2-ae 
¾Û     dbbe      805a        e8-81-9a 
¾Ü     dcbe      62d2        e6-8b-92 
¾Ý     ddbe      636e        e6-8d-ae 
¾Þ     debe      5de8        e5-b7-a8 
¾ß     dfbe      5177        e5-85-b7 
¾à     e0be      8ddd        e8-b7-9d 
¾á     e1be      8e1e        e8-b8-9e 
¾â     e2be      952f        e9-94-af 
¾ã     e3be      4ff1        e4-bf-b1 
¾ä     e4be      53e5        e5-8f-a5 
¾å     e5be      60e7        e6-83-a7 
¾æ     e6be      70ac        e7-82-ac 
¾ç     e7be      5267        e5-89-a7 
¾è     e8be      6350        e6-8d-90 
¾é     e9be      9e43        e9-b9-83 
¾ê     eabe      5a1f        e5-a8-9f 
¾ë     ebbe      5026        e5-80-a6 
¾ì     ecbe      7737        e7-9c-b7 
¾í     edbe      5377        e5-8d-b7 
¾î     eebe      7ee2        e7-bb-a2 
¾ï     efbe      6485        e6-92-85 
¾ð     f0be      652b        e6-94-ab 
¾ñ     f1be      6289        e6-8a-89 
¾ò     f2be      6398        e6-8e-98 
¾ó     f3be      5014        e5-80-94 
¾ô     f4be      7235        e7-88-b5 
¾õ     f5be      89c9        e8-a7-89 
¾ö     f6be      51b3        e5-86-b3 
¾÷     f7be      8bc0        e8-af-80 
¾ø     f8be      7edd        e7-bb-9d 
¾ù     f9be      5747        e5-9d-87 
¾ú     fabe      83cc        e8-8f-8c 
¾û     fbbe      94a7        e9-92-a7 
¾ü     fcbe      519b        e5-86-9b 
¾ý     fdbe      541b        e5-90-9b 
¾þ     febe      5cfb        e5-b3-bb 
¿¡     a1bf      4fca        e4-bf-8a 
¿¢     a2bf      7ae3        e7-ab-a3 
¿£     a3bf      6d5a        e6-b5-9a 
¿¤     a4bf      90e1        e9-83-a1 
¿¥     a5bf      9a8f        e9-aa-8f 
¿¦     a6bf      5580        e5-96-80 
¿§     a7bf      5496        e5-92-96 
¿¨     a8bf      5361        e5-8d-a1 
¿©     a9bf      54af        e5-92-af 
¿ª     aabf      5f00        e5-bc-80 
¿«     abbf      63e9        e6-8f-a9 
¿¬     acbf      6977        e6-a5-b7 
¿­     adbf      51ef        e5-87-af 
¿®     aebf      6168        e6-85-a8 
¿¯     afbf      520a        e5-88-8a 
¿°     b0bf      582a        e5-a0-aa 
¿±     b1bf      52d8        e5-8b-98 
¿²     b2bf      574e        e5-9d-8e 
¿³     b3bf      780d        e7-a0-8d 
¿´     b4bf      770b        e7-9c-8b 
¿µ     b5bf      5eb7        e5-ba-b7 
¿¶     b6bf      6177        e6-85-b7 
¿·     b7bf      7ce0        e7-b3-a0 
¿¸     b8bf      625b        e6-89-9b 
¿¹     b9bf      6297        e6-8a-97 
¿º     babf      4ea2        e4-ba-a2 
¿»     bbbf      7095        e7-82-95 
¿¼     bcbf      8003        e8-80-83 
¿½     bdbf      62f7        e6-8b-b7 
¿¾     bebf      70e4        e7-83-a4 
¿¿     bfbf      9760        e9-9d-a0 
¿À     c0bf      5777        e5-9d-b7 
¿Á     c1bf      82db        e8-8b-9b 
¿Â     c2bf      67ef        e6-9f-af 
¿Ã     c3bf      68f5        e6-a3-b5 
¿Ä     c4bf      78d5        e7-a3-95 
¿Å     c5bf      9897        e9-a2-97 
¿Æ     c6bf      79d1        e7-a7-91 
¿Ç     c7bf      58f3        e5-a3-b3 
¿È     c8bf      54b3        e5-92-b3 
¿É     c9bf      53ef        e5-8f-af 
¿Ê     cabf      6e34        e6-b8-b4 
¿Ë     cbbf      514b        e5-85-8b 
¿Ì     ccbf      523b        e5-88-bb 
¿Í     cdbf      5ba2        e5-ae-a2 
¿Î     cebf      8bfe        e8-af-be 
¿Ï     cfbf      80af        e8-82-af 
¿Ð     d0bf      5543        e5-95-83 
¿Ñ     d1bf      57a6        e5-9e-a6 
¿Ò     d2bf      6073        e6-81-b3 
¿Ó     d3bf      5751        e5-9d-91 
¿Ô     d4bf      542d        e5-90-ad 
¿Õ     d5bf      7a7a        e7-a9-ba 
¿Ö     d6bf      6050        e6-81-90 
¿×     d7bf      5b54        e5-ad-94 
¿Ø     d8bf      63a7        e6-8e-a7 
¿Ù     d9bf      62a0        e6-8a-a0 
¿Ú     dabf      53e3        e5-8f-a3 
¿Û     dbbf      6263        e6-89-a3 
¿Ü     dcbf      5bc7        e5-af-87 
¿Ý     ddbf      67af        e6-9e-af 
¿Þ     debf      54ed        e5-93-ad 
¿ß     dfbf      7a9f        e7-aa-9f 
¿à     e0bf      82e6        e8-8b-a6 
¿á     e1bf      9177        e9-85-b7 
¿â     e2bf      5e93        e5-ba-93 
¿ã     e3bf      88e4        e8-a3-a4 
¿ä     e4bf      5938        e5-a4-b8 
¿å     e5bf      57ae        e5-9e-ae 
¿æ     e6bf      630e        e6-8c-8e 
¿ç     e7bf      8de8        e8-b7-a8 
¿è     e8bf      80ef        e8-83-af 
¿é     e9bf      5757        e5-9d-97 
¿ê     eabf      7b77        e7-ad-b7 
¿ë     ebbf      4fa9        e4-be-a9 
¿ì     ecbf      5feb        e5-bf-ab 
¿í     edbf      5bbd        e5-ae-bd 
¿î     eebf      6b3e        e6-ac-be 
¿ï     efbf      5321        e5-8c-a1 
¿ð     f0bf      7b50        e7-ad-90 
¿ñ     f1bf      72c2        e7-8b-82 
¿ò     f2bf      6846        e6-a1-86 
¿ó     f3bf      77ff        e7-9f-bf 
¿ô     f4bf      7736        e7-9c-b6 
¿õ     f5bf      65f7        e6-97-b7 
¿ö     f6bf      51b5        e5-86-b5 
¿÷     f7bf      4e8f        e4-ba-8f 
¿ø     f8bf      76d4        e7-9b-94 
¿ù     f9bf      5cbf        e5-b2-bf 
¿ú     fabf      7aa5        e7-aa-a5 
¿û     fbbf      8475        e8-91-b5 
¿ü     fcbf      594e        e5-a5-8e 
¿ý     fdbf      9b41        e9-ad-81 
¿þ     febf      5080        e5-82-80 
À¡     a1c0      9988        e9-a6-88 
À¢     a2c0      6127        e6-84-a7 
À£     a3c0      6e83        e6-ba-83 
À¤     a4c0      5764        e5-9d-a4 
À¥     a5c0      6606        e6-98-86 
À¦     a6c0      6346        e6-8d-86 
À§     a7c0      56f0        e5-9b-b0 
À¨     a8c0      62ec        e6-8b-ac 
À©     a9c0      6269        e6-89-a9 
Àª     aac0      5ed3        e5-bb-93 
À«     abc0      9614        e9-98-94 
À¬     acc0      5783        e5-9e-83 
À­     adc0      62c9        e6-8b-89 
À®     aec0      5587        e5-96-87 
À¯     afc0      8721        e8-9c-a1 
À°     b0c0      814a        e8-85-8a 
À±     b1c0      8fa3        e8-be-a3 
À²     b2c0      5566        e5-95-a6 
À³     b3c0      83b1        e8-8e-b1 
À´     b4c0      6765        e6-9d-a5 
Àµ     b5c0      8d56        e8-b5-96 
À¶     b6c0      84dd        e8-93-9d 
À·     b7c0      5a6a        e5-a9-aa 
À¸     b8c0      680f        e6-a0-8f 
À¹     b9c0      62e6        e6-8b-a6 
Àº     bac0      7bee        e7-af-ae 
À»     bbc0      9611        e9-98-91 
À¼     bcc0      5170        e5-85-b0 
À½     bdc0      6f9c        e6-be-9c 
À¾     bec0      8c30        e8-b0-b0 
À¿     bfc0      63fd        e6-8f-bd 
ÀÀ     c0c0      89c8        e8-a7-88 
ÀÁ     c1c0      61d2        e6-87-92 
ÀÂ     c2c0      7f06        e7-bc-86 
ÀÃ     c3c0      70c2        e7-83-82 
ÀÄ     c4c0      6ee5        e6-bb-a5 
ÀÅ     c5c0      7405        e7-90-85 
ÀÆ     c6c0      6994        e6-a6-94 
ÀÇ     c7c0      72fc        e7-8b-bc 
ÀÈ     c8c0      5eca        e5-bb-8a 
ÀÉ     c9c0      90ce        e9-83-8e 
