×Ö·û----GB-------Unicode------UTF-8
¢â     e2a2      2469        e2-91-a9 
¢å     e5a2      3220        e3-88-a0 
¢æ     e6a2      3221        e3-88-a1 
¢ç     e7a2      3222        e3-88-a2 
¢è     e8a2      3223        e3-88-a3 
¢é     e9a2      3224        e3-88-a4 
¢ê     eaa2      3225        e3-88-a5 
¢ë     eba2      3226        e3-88-a6 
¢ì     eca2      3227        e3-88-a7 
¢í     eda2      3228        e3-88-a8 
¢î     eea2      3229        e3-88-a9 
¢ñ     f1a2      2160        e2-85-a0 
¢ò     f2a2      2161        e2-85-a1 
¢ó     f3a2      2162        e2-85-a2 
¢ô     f4a2      2163        e2-85-a3 
¢õ     f5a2      2164        e2-85-a4 
¢ö     f6a2      2165        e2-85-a5 
¢÷     f7a2      2166        e2-85-a6 
¢ø     f8a2      2167        e2-85-a7 
¢ù     f9a2      2168        e2-85-a8 
¢ú     faa2      2169        e2-85-a9 
¢û     fba2      216a        e2-85-aa 
¢ü     fca2      216b        e2-85-ab 
£¡     a1a3      ff01        ef-bc-81 
£¢     a2a3      ff02        ef-bc-82 
££     a3a3      ff03        ef-bc-83 
£¤     a4a3      ffe5        ef-bf-a5 
£¥     a5a3      ff05        ef-bc-85 
£¦     a6a3      ff06        ef-bc-86 
£§     a7a3      ff07        ef-bc-87 
£¨     a8a3      ff08        ef-bc-88 
£©     a9a3      ff09        ef-bc-89 
£ª     aaa3      ff0a        ef-bc-8a 
£«     aba3      ff0b        ef-bc-8b 
£¬     aca3      ff0c        ef-bc-8c 
£­     ada3      ff0d        ef-bc-8d 
£®     aea3      ff0e        ef-bc-8e 
£¯     afa3      ff0f        ef-bc-8f 
£°     b0a3      ff10        ef-bc-90 
£±     b1a3      ff11        ef-bc-91 
£²     b2a3      ff12        ef-bc-92 
£³     b3a3      ff13        ef-bc-93 
£´     b4a3      ff14        ef-bc-94 
£µ     b5a3      ff15        ef-bc-95 
£¶     b6a3      ff16        ef-bc-96 
£·     b7a3      ff17        ef-bc-97 
£¸     b8a3      ff18        ef-bc-98 
£¹     b9a3      ff19        ef-bc-99 
£º     baa3      ff1a        ef-bc-9a 
£»     bba3      ff1b        ef-bc-9b 
£¼     bca3      ff1c        ef-bc-9c 
£½     bda3      ff1d        ef-bc-9d 
£¾     bea3      ff1e        ef-bc-9e 
£¿     bfa3      ff1f        ef-bc-9f 
£À     c0a3      ff20        ef-bc-a0 
£Á     c1a3      ff21        ef-bc-a1 
£Â     c2a3      ff22        ef-bc-a2 
£Ã     c3a3      ff23        ef-bc-a3 
£Ä     c4a3      ff24        ef-bc-a4 
£Å     c5a3      ff25        ef-bc-a5 
£Æ     c6a3      ff26        ef-bc-a6 
£Ç     c7a3      ff27        ef-bc-a7 
£È     c8a3      ff28        ef-bc-a8 
£É     c9a3      ff29        ef-bc-a9 
£Ê     caa3      ff2a        ef-bc-aa 
£Ë     cba3      ff2b        ef-bc-ab 
£Ì     cca3      ff2c        ef-bc-ac 
£Í     cda3      ff2d        ef-bc-ad 
£Î     cea3      ff2e        ef-bc-ae 
£Ï     cfa3      ff2f        ef-bc-af 
£Ð     d0a3      ff30        ef-bc-b0 
£Ñ     d1a3      ff31        ef-bc-b1 
£Ò     d2a3      ff32        ef-bc-b2 
£Ó     d3a3      ff33        ef-bc-b3 
£Ô     d4a3      ff34        ef-bc-b4 
£Õ     d5a3      ff35        ef-bc-b5 
£Ö     d6a3      ff36        ef-bc-b6 
£×     d7a3      ff37        ef-bc-b7 
£Ø     d8a3      ff38        ef-bc-b8 
£Ù     d9a3      ff39        ef-bc-b9 
£Ú     daa3      ff3a        ef-bc-ba 
£Û     dba3      ff3b        ef-bc-bb 
£Ü     dca3      ff3c        ef-bc-bc 
£Ý     dda3      ff3d        ef-bc-bd 
£Þ     dea3      ff3e        ef-bc-be 
£ß     dfa3      ff3f        ef-bc-bf 
£à     e0a3      ff40        ef-bd-80 
£á     e1a3      ff41        ef-bd-81 
£â     e2a3      ff42        ef-bd-82 
£ã     e3a3      ff43        ef-bd-83 
£ä     e4a3      ff44        ef-bd-84 
£å     e5a3      ff45        ef-bd-85 
£æ     e6a3      ff46        ef-bd-86 
£ç     e7a3      ff47        ef-bd-87 
£è     e8a3      ff48        ef-bd-88 
£é     e9a3      ff49        ef-bd-89 
£ê     eaa3      ff4a        ef-bd-8a 
£ë     eba3      ff4b        ef-bd-8b 
£ì     eca3      ff4c        ef-bd-8c 
£í     eda3      ff4d        ef-bd-8d 
£î     eea3      ff4e        ef-bd-8e 
£ï     efa3      ff4f        ef-bd-8f 
£ð     f0a3      ff50        ef-bd-90 
£ñ     f1a3      ff51        ef-bd-91 
£ò     f2a3      ff52        ef-bd-92 
£ó     f3a3      ff53        ef-bd-93 
£ô     f4a3      ff54        ef-bd-94 
£õ     f5a3      ff55        ef-bd-95 
£ö     f6a3      ff56        ef-bd-96 
£÷     f7a3      ff57        ef-bd-97 
£ø     f8a3      ff58        ef-bd-98 
£ù     f9a3      ff59        ef-bd-99 
£ú     faa3      ff5a        ef-bd-9a 
£û     fba3      ff5b        ef-bd-9b 
£ü     fca3      ff5c        ef-bd-9c 
£ý     fda3      ff5d        ef-bd-9d 
¤¡     a1a4      3041        e3-81-81 
